Batterie Ladung, Voltage, Kanalbelegung, Airtime, Timestamp
96, 4.164, 12.11, 2.1277778, 08.11.23 16:42
91, 4.122, 16.94, 1.2625278, 08.11.23 16:27
91, 4.124, 5.0783334, 0.054972224, 08.11.23 16:12
97, 4.174, 17.068335, 1.5957501, 08.11.23 16:09
82, 4.038, 18.293333, 0.09738889, 08.11.23 15:54
93, 4.142, 15.531667, 4.906139, 08.11.23 15:40
87, 4.084, 11.576667, 3.4628332, 08.11.23 15:25
96, 4.17, 11.6866665, 2.472889, 08.11.23 15:10
95, 4.156, 8.513333, 1.2944167, 08.11.23 14:55
100, 4.202, 17.785, 0.075944446, 08.11.23 14:40
86, 4.076, 11.326667, 0.04013889, 08.11.23 14:38
89, 4.102, 20.963333, 0.11836111, 08.11.23 14:38
95, 4.156, 25.478333, 0.13913889, 08.11.23 14:36
