SeqNo, Latitude, Longitude, Altitude, Sats, Speed, Heading, SNR, Timestamp
0, 51.0522155, 13.8090054, 119, 0, 0, 0, 6.0, 08.11.23 14:46
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 6.75, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 7.75, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 6.25, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 6.25, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 7.0, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 5.75, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 6.25, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 6.75, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 6.25, 08.11.23 14:50
0, 51.0522766, 13.8089048, 109, 0, 0, 0, 5.75, 08.11.23 14:50
0, 51.0522766, 13.8089308, 114, 0, 0, 0, 6.5, 08.11.23 15:02
0, 51.0526733, 13.8101657, 113, 0, 0, 0, 4.5, 08.11.23 15:26
0, 51.0526733, 13.8101657, 113, 0, 0, 0, 6.25, 08.11.23 15:26
0, 51.0526733, 13.8101657, 113, 0, 0, 0, 5.75, 08.11.23 15:26
0, 51.050354, 13.8140155, 109, 0, 0, 0, 5.0, 08.11.23 15:37
0, 51.0503234, 13.8140675, 112, 0, 1, 0, 6.0, 08.11.23 15:37
0, 51.0503234, 13.8140754, 110, 0, 1, 0, -1.75, 08.11.23 15:39
0, 51.0498657, 13.8145492, 108, 0, 7, 0, 6.5, 08.11.23 15:40
0, 51.0498657, 13.8145492, 108, 0, 7, 0, 6.5, 08.11.23 15:40
0, 51.0479736, 13.8160821, 111, 0, 13, 155, 5.5, 08.11.23 15:42
0, 51.0464172, 13.817186, 107, 0, 12, 160, 3.5, 08.11.23 15:43
0, 51.0455017, 13.8177922, 111, 0, 0, 125, 6.75, 08.11.23 15:44
0, 51.0455017, 13.8177848, 113, 0, 0, 125, 5.75, 08.11.23 15:45
0, 51.0455017, 13.8177718, 108, 0, 0, 0, 5.75, 08.11.23 15:46
0, 51.0455017, 13.8177669, 108, 0, 0, 0, 1.75, 08.11.23 15:47
0, 51.0455017, 13.8178225, 106, 0, 0, 0, 6.0, 08.11.23 15:48
0, 51.0455017, 13.8178069, 107, 0, 0, 0, 6.25, 08.11.23 15:49
0, 51.0455322, 13.8177889, 111, 0, 0, 153, 5.75, 08.11.23 15:50
