SeqNo, Latitude, Longitude, Altitude, Sats, Speed, Heading, SNR, Timestamp
0, 51.0522766, 13.8089866, 0, 0, 0, 0, 7.25, 08.11.23 15:02
0, 51.0522766, 13.8089866, 102, 0, 0, 0, 6.0, 08.11.23 15:04
0, 51.0523681, 13.8091615, 107, 0, 0, 0, 7.5, 08.11.23 15:05
0, 51.0523681, 13.8091615, 107, 0, 0, 0, 6.0, 08.11.23 15:05
0, 51.0523681, 13.8091335, 108, 0, 0, 0, 7.5, 08.11.23 15:09
0, 51.0524291, 13.8088732, 108, 0, 0, 0, 6.0, 08.11.23 15:11
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 6.0, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 6.0, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 7.5, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 6.25, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 6.25, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 2.0, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 4.75, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 4.5, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 5.75, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 2.75, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, 3.5, 08.11.23 15:12
0, 51.0524291, 13.8088699, 108, 0, 0, 0, -2.0, 08.11.23 15:12
0, 51.0597839, 13.8060629, 111, 0, 4, 311, 5.75, 08.11.23 15:35
0, 51.0598754, 13.8059355, 111, 0, 9, 309, 5.25, 08.11.23 15:35
0, 51.0614318, 13.8027055, 113, 0, 17, 307, 4.75, 08.11.23 15:36
0, 51.0614318, 13.8027055, 113, 0, 17, 307, 4.75, 08.11.23 15:36
0, 51.0625305, 13.799431, 112, 0, 14, 295, 5.0, 08.11.23 15:37
0, 51.0637512, 13.7933933, 111, 0, 16, 282, 1.25, 08.11.23 15:39
0, 51.0646972, 13.7880637, 111, 0, 12, 287, 6.0, 08.11.23 15:41
0, 51.0653686, 13.7851288, 113, 0, 13, 289, 1.75, 08.11.23 15:42
0, 51.0656127, 13.7811006, 114, 0, 14, 272, -0.25, 08.11.23 15:43
0, 51.0657653, 13.7788014, 114, 0, 12, 281, 6.0, 08.11.23 15:44
0, 51.0657348, 13.7751032, 112, 0, 18, 261, -9.0, 08.11.23 15:45
0, 51.0651855, 13.770765, 112, 0, 15, 258, -7.25, 08.11.23 15:46
0, 51.0649108, 13.7693463, 112, 0, 0, 287, 0.25, 08.11.23 15:47
0, 51.0646057, 13.7681583, 111, 0, 13, 251, -2.5, 08.11.23 15:49
0, 51.0637817, 13.7660189, 111, 0, 0, 0, -4.25, 08.11.23 15:52
0, 51.0638122, 13.7660107, 112, 0, 0, 0, 5.75, 08.11.23 15:54
0, 51.0624694, 13.7668274, 104, 0, 0, 0, -18.5, 08.11.23 15:55
0, 51.0631713, 13.7643425, 108, 0, 11, 241, -1.25, 08.11.23 15:56
0, 51.0628356, 13.7643735, 110, 0, 0, 0, -10.0, 08.11.23 16:20
0, 51.0630187, 13.7652479, 106, 0, 12, 46, -12.0, 08.11.23 16:23
0, 51.0630187, 13.7652479, 106, 0, 12, 46, -3.0, 08.11.23 16:23
0, 51.0630187, 13.7652479, 106, 0, 12, 46, -1.0, 08.11.23 16:23
0, 51.0630187, 13.7652479, 106, 0, 12, 46, -1.0, 08.11.23 16:23
0, 51.0630187, 13.7652479, 106, 0, 12, 46, 4.5, 08.11.23 16:23
0, 51.0630187, 13.7652479, 106, 0, 12, 46, 5.75, 08.11.23 16:23
0, 51.0630187, 13.7652479, 106, 0, 12, 46, 6.75, 08.11.23 16:23
0, 51.0527648, 13.8087403, 118, 0, 0, 292, 6.5, 08.11.23 16:39
0, 51.0527954, 13.8087138, 114, 0, 0, 292, 6.25, 08.11.23 16:40
0, 51.0527648, 13.8087135, 113, 0, 0, 292, 6.0, 08.11.23 16:42
0, 51.0527648, 13.8087135, 113, 0, 0, 292, 6.25, 08.11.23 16:42
0, 51.0525512, 13.808723, 113, 0, 0, 0, 5.75, 08.11.23 16:46
0, 51.0525512, 13.808723, 113, 0, 0, 0, 6.0, 08.11.23 16:46
0, 51.0525512, 13.808723, 113, 0, 0, 0, 6.25, 08.11.23 16:46
