Batterie Ladung, Voltage, Kanalbelegung, Airtime, Timestamp
101, 4.804, 3.9450002, 3.4866943, 08.11.23 19:00
101, 4.801, 2.795, 3.4848056, 08.11.23 18:59
101, 4.895, 3.9450002, 3.483389, 08.11.23 18:58
101, 4.791, 2.795, 3.4815, 08.11.23 18:57
101, 4.792, 3.9450002, 3.4800835, 08.11.23 18:56
101, 4.896, 2.795, 3.4781945, 08.11.23 18:55
101, 4.79, 3.9450002, 3.4767776, 08.11.23 18:54
101, 4.899, 2.795, 3.474889, 08.11.23 18:53
101, 4.894, 3.9450002, 3.473472, 08.11.23 18:52
101, 4.901, 2.795, 3.4715836, 08.11.23 18:51
101, 4.896, 3.9450002, 3.4701667, 08.11.23 18:50
101, 4.891, 2.795, 3.4682777, 08.11.23 18:49
101, 4.899, 5.4216666, 3.445889, 08.11.23 18:48
101, 4.895, 2.795, 3.4649723, 08.11.23 18:47
101, 4.892, 3.9450002, 3.4635556, 08.11.23 18:46
101, 4.892, 2.795, 3.4616668, 08.11.23 18:45
101, 4.896, 3.9450002, 3.4789443, 08.11.23 18:44
101, 4.896, 2.795, 3.458361, 08.11.23 18:43
101, 4.886, 3.9450002, 3.4756389, 08.11.23 18:42
101, 4.894, 2.71, 3.4550555, 08.11.23 18:41
101, 4.891, 3.8600001, 3.47375, 08.11.23 18:40
101, 4.883, 2.71, 3.4545834, 08.11.23 18:39
101, 4.883, 3.8600001, 3.4732778, 08.11.23 18:38
101, 4.883, 2.71, 3.454111, 08.11.23 18:37
101, 4.889, 3.8600001, 3.4728055, 08.11.23 18:36
101, 4.877, 2.71, 3.4536388, 08.11.23 18:35
101, 4.879, 3.8600001, 3.4723334, 08.11.23 18:34
101, 4.883, 5.3083334, 3.4531667, 08.11.23 18:33
101, 4.886, 2.71, 3.4531667, 08.11.23 18:32
101, 4.86, 4.186667, 3.4531667, 08.11.23 18:18
42, 3.669, 2.71, 1.342, 08.11.23 17:23
43, 3.673, 2.71, 1.2781389, 08.11.23 17:22
42, 3.666, 2.71, 1.2329721, 08.11.23 17:21
42, 3.667, 2.71, 1.1691111, 08.11.23 17:20
42, 3.667, 2.71, 1.10525, 08.11.23 17:19
42, 3.667, 5.3083334, 1.0391111, 08.11.23 17:18
42, 3.667, 2.71, 0.95063883, 08.11.23 17:17
42, 3.667, 2.71, 0.9054722, 08.11.23 17:16
43, 3.67, 3.8316667, 0.8603056, 08.11.23 17:15
42, 3.669, 2.71, 0.7964444, 08.11.23 17:14
42, 3.667, 3.8316667, 0.75127774, 08.11.23 17:13
42, 3.667, 3.8316667, 0.6874167, 08.11.23 17:12
42, 3.667, 2.6699998, 0.6235556, 08.11.23 17:11
42, 3.669, 3.7916667, 0.57905555, 08.11.23 17:10
42, 3.667, 3.7916667, 0.5158611, 08.11.23 17:09
43, 3.672, 3.915, 0.45266667, 08.11.23 17:08
42, 3.669, 3.7916667, 0.38741666, 08.11.23 17:07
